,fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_OpeningHours,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt
0,1069_7334,0,0,0,0,0,0,0,0,0,1,4,36.0,2.1,1045481,195228,0.18673510100000001,23730.35,2194057,324656,0.147970632,593.19,326.28,235.75,1,1
1,328_2350,0,0,0,1,1,1,0,0,0,0,4,20.0,2.1,935739,168291,0.179848227,23343.26,1966798,281130,0.142937912,588.54,320.36,230.66,1,1
2,865_6285,0,0,0,1,0,1,0,0,0,1,0,0.0,2.1,1026235,189787,0.18493522399999998,23674.18,2149624,320326,0.14901489699999998,592.88,325.57,234.82,1,1
3,47_307,0,1,1,0,0,0,0,0,0,0,4,20.0,2.1,1027701,189634,0.184522541,23572.26,2161445,310981,0.143876435,590.84,324.06,233.81,1,0
4,342_2513,0,0,0,0,0,1,0,0,0,1,5,33.0,2.1,1093324,207590,0.189870523,23821.63,2302959,334940,0.145438977,593.56,327.75,237.41,1,1
5,584_4117,0,1,1,0,1,0,0,0,0,0,4,17.0,2.1,1035026,192802,0.186277446,23729.24,2167697,324246,0.149580869,593.43,327.08,235.73,1,1
6,995_7075,0,0,0,0,0,0,0,0,0,0,4,23.0,2.1,1061677,198766,0.1872189,23699.61,2234581,324379,0.145163232,592.21,325.95,235.63,1,1
7,143_7711,0,0,0,0,0,0,0,0,0,1,0,0.0,2.4,130326,32431,0.248845204,24058.93,307435,21676,0.07050596099999999,580.52,324.49,248.99,1,1
8,1055_7298,1,0,1,0,0,0,0,0,1,0,0,0.0,2.1,1059500,199147,0.18796319,23773.74,2225683,328527,0.147607274,593.51,326.95,236.46,1,1
9,151_4934,0,1,1,0,0,0,0,1,1,1,4,21.0,2.1,118470,19188,0.161965054,22865.72,247705,25735,0.103893745,581.96,346.16,234.65,1,1
10,1136_7653,0,0,0,0,0,0,0,0,0,0,4,30.5,2.1,1041285,194542,0.18682877399999998,23743.39,2183360,325371,0.149023065,593.54,326.6,235.89,1,1
11,40_733,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,223460,45355,0.202966974,23934.95,483856,71107,0.146959013,586.13,325.92,237.37,1,1
12,212_3289,0,0,0,0,0,0,0,0,0,1,4,12.0,2.4,79473,17179,0.216161464,22814.26,190866,12134,0.063573397,559.75,322.61,236.52,1,0
13,473_3367,0,0,0,0,1,0,0,0,0,0,4,29.0,2.1,1031131,190965,0.18519955300000002,23671.73,2161852,319992,0.148017533,592.65,325.53,234.88,1,0
14,663_4726,0,1,1,1,0,1,0,0,0,1,5,53.0,2.1,1036638,192683,0.18587298600000002,23694.23,2174560,321810,0.147988559,592.8,325.87,235.25,1,0
15,322_4328,1,0,1,0,0,0,0,0,0,1,4,29.0,2.3,195880,41338,0.21103737,23886.68,442243,36294,0.082068003,581.61,342.65,248.82,1,1
16,63_428,0,1,1,1,0,1,1,0,1,1,4,36.0,2.1,1031985,191393,0.18546102899999997,23691.62,2162790,321702,0.148743983,592.99,325.8,235.11,1,1
17,1225_8005,0,0,0,1,0,1,0,0,0,0,4,32.0,2.1,1074776,203043,0.18891657399999998,23806.51,2259701,332359,0.147080963,593.74,327.52,237.02,1,1
18,71_1055,0,0,0,0,0,0,0,0,1,0,5,27.0,2.5,42702,9192,0.21525923800000002,21834.33,106819,5412,0.050665144,533.24,320.44,227.79,1,1
19,0_7,0,0,1,0,0,0,0,0,0,0,3,20.0,2.1,208714,41587,0.199253524,24028.55,445856,68826,0.154368227,589.7,326.52,236.98,1,0
20,768_5430,0,1,1,0,0,0,0,0,0,0,5,36.0,2.1,1041382,193769,0.186069089,23693.53,2185867,322168,0.147386826,592.7,325.76,235.27,1,0
21,801_5580,0,1,0,1,0,0,0,0,0,0,4,36.0,2.1,1055663,198043,0.187600588,23766.23,2216152,328225,0.148105816,593.58,326.92,236.32,1,1
22,182_5663,0,0,1,0,0,0,0,0,0,0,5,39.0,2.2,149201,33180,0.222384568,24704.91,330326,38399,0.116245769,593.31,342.44,253.22,1,0
23,965_6800,0,1,1,1,0,1,1,0,0,1,4,24.0,2.1,1071647,202509,0.188969875,23805.83,2253484,331352,0.147039872,593.7,327.39,236.99,1,1
24,697_4882,0,1,1,0,0,0,0,0,0,1,0,0.0,2.1,1036552,193001,0.186195193,23711.37,2174284,322876,0.14849762,593.01,326.1,235.45,1,1
25,47_5043,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4,25799,5956,0.23086166100000002,23577.79,61617,4011,0.06509567200000001,563.4,343.84,249.45,1,0
26,229_6864,1,0,0,1,0,0,0,0,1,1,0,0.0,2.2,144018,31803,0.220826563,24758.74,317026,37449,0.118125958,594.84,343.7,253.57,1,1
27,129_4359,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,67706,11875,0.17539066,22919.72,146344,15266,0.104315859,573.83,347.24,236.54,1,1
28,281_7289,0,0,0,0,0,0,0,0,0,1,0,0.0,2.6,11018,2726,0.247413324,22765.11,28310,1456,0.05143059,545.01,309.12,234.34,1,1
29,385_4993,0,0,1,1,0,0,0,0,0,1,4,20.5,2.2,418423,78456,0.18750403300000001,23318.73,906925,96988,0.106941588,583.9,328.27,236.28,1,1
30,314_7605,0,0,0,1,0,0,0,0,0,1,3,12.0,2.2,150716,30501,0.20237400100000003,23854.77,329746,40836,0.123840774,584.85,325.61,237.81,1,1
31,23_472,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,280877,60472,0.215297087,24701.88,615519,56101,0.091144221,596.64,339.47,251.98,1,1
32,803_5587,0,1,1,1,1,1,0,0,0,1,0,0.0,2.1,1043301,194510,0.186437088,23717.99,2189176,323734,0.147879385,593.08,326.08,235.57,1,1
33,1105_7506,0,1,1,1,0,0,0,0,0,0,5,35.0,2.1,997938,183502,0.18388116300000001,23649.26,2085533,311950,0.149578069,592.9,326.0,234.5,1,1
34,1300_8340,0,0,0,0,0,0,0,0,0,0,5,30.0,2.1,1073094,202589,0.188789612,23789.88,2257368,330592,0.146450202,593.48,327.11,236.82,1,1
